 Format                 IAGA-2002                                    |
 Source of Data         Ath. Univ. THEMIS UCLA Magnetic Network eXpan|
 Station Name                                                        |
 IAGA CODE              SALU                                         |
 Geodetic Latitude      62.20                                        |
 Geodetic Longitude     -75.63                                       |
 Reported               HDZF                                         |
 Sensor Orientation     HDZF                                         |
 Elevation              227                                          |
 Digital Sampling       60                                           |
 Data Interval Type     60-second instantaneous                      |
 Data Type              Variation                                    |
DATE       TIME         DOY     SALUH     SALUD     SALUZ     SALUF
2019-06-06 00:00:30.663 157     11237.35  216.91    57844.11  88888.00
2019-06-06 00:01:31.913 157     11237.10  215.99    57843.47  88888.00
2019-06-06 00:02:33.663 157     11236.90  215.37    57843.96  88888.00
2019-06-06 00:03:35.413 157     11236.39  214.97    57843.71  88888.00
2019-06-06 00:04:36.913 157     11235.27  214.45    57843.89  88888.00
2019-06-06 00:05:37.908 157     11233.35  213.59    57844.35  88888.00
2019-06-06 00:06:38.904 157     11231.26  212.67    57845.00  88888.00
2019-06-06 00:07:39.904 157     11229.69  211.74    57844.98  88888.00
2019-06-06 00:08:40.654 157     11227.92  210.93    57844.85  88888.00
2019-06-06 00:09:41.904 157     11226.69  210.21    57844.77  88888.00

